department_name,category_name,order_items,total_orders,total_sales,total_profit,profit_margin
Fan Shop,Fishing,17325,15164,6226935.290565399,756220.767189502,0.12144349216785227
Apparel,Cleats,24551,20386,3982856.502617,494636.919790561,0.12419149910762586
Fan Shop,Camping & Hiking,13729,12299,3700783.6284585,427455.568105731,0.11550406914326426
Footwear,Cardio Equipment,12487,11355,3320250.69863897,383011.098484708,0.11535607797378405
Golf,Women's Apparel,21035,17869,2828708.5,350421.02956735,0.12388021938893667
Fan Shop,Water Sports,15540,13758,2798044.184858,325146.96003752,0.1162050841788337
Apparel,Men's Footwear,22246,18783,2598494.42070502,311902.820213578,0.12003213003973007
Fan Shop,Indoor/Outdoor Games,19298,16623,2596454.01613738,318451.430554194,0.122648592493827
Golf,Shop By Sport,10984,10136,1177185.6271800501,129813.96031482199,0.11027484308128321
Technology,Computers,442,442,595395.0,69656.81017112,0.1169926018376372
Technology,Cameras,592,592,240496.6790167,30289.799945644998,0.12594685327667948
Outdoors,Garden,484,484,231765.4602916,33443.010106141,0.14429678203155924
Outdoors,Electronics,2029,1994,229480.66039935,28626.479871077,0.12474462911715625
Apparel,Children's Clothing,652,652,209268.38055539998,27178.099596873,0.12987198316698442
Apparel,Crafts,484,484,200704.8703333,25531.17006045,0.12720752624513662
Golf,Girls' Apparel,1201,1191,136206.83021776,17288.569972693,0.1269288033871208
Apparel,Women's Clothing,650,650,126006.9303264,19102.849930084,0.15160158160032344
Outdoors,Accessories,1780,1753,119712.54948536,16643.520073949,0.13902903367691108
Fitness,Sporting Goods,357,357,105063.6115112,12518.610118848,0.11915267273592142
Outdoors,Golf Gloves,1070,1064,104787.400320521,12975.490078118,0.12382681542274077
Footwear,Electronics,1127,1113,103846.60039785,12264.90004657,0.11810593702231516
Discs Shop,Music,434,434,101687.28986620001,14436.31992285,0.1419677910763999
Technology,Consumer Electronics,431,431,97937.5598153,13223.399925575,0.13501867874299656
Outdoors,Golf Shoes,524,523,96506.4699898,12406.070142829,0.12855169341641268
Health and Beauty,Health and Beauty,362,362,95358.1102879,9493.629974264,0.09955765635037599
Outdoors,Kids' Golf Clubs,384,373,89473.69946238,9045.839895538,0.10110054630457527
Fitness,Baseball & Softball,632,628,84367.27085249001,12762.130067433,0.15126873180177475
Footwear,Boxing & MMA,423,421,76286.71994106,8641.370006251,0.1132748925753712
Discs Shop,DVDs,483,483,71319.3796864,6655.430088233999,0.0933186760386691
Outdoors,Golf Balls,1475,1444,69341.24954266,8342.670023919,0.12031323460340063
Outdoors,Trade-In,974,964,61667.54046302,7915.369984928,0.12835553235132813
Fan Shop,Hunting & Shooting,440,436,50878.9100799,5979.9999452990005,0.11753396320613073
Footwear,Strength Training,111,111,48813.8395335,332.31009052699983,0.006807702358650599
Fitness,Hockey,614,609,43618.36004757,5397.430012878,0.12374215827902711
Outdoors,Men's Golf Clubs,283,280,42382.78980129,5517.989977266,0.13019411896047603
Fitness,Tennis & Racquet,328,327,40077.81034646,5747.979996385,0.14342050992046548
Outdoors,Women's Golf Clubs,181,181,39984.38980097,5028.639929453,0.12576507868405706
Apparel,Men's Clothing,208,208,39365.7099925,2006.039969416,0.05095906995703096
Pet Shop,Pet Supplies,492,492,37318.29984653,3589.259958614,0.09617962161659793
Fitness,Lacrosse,343,341,35415.92979094,4364.289984193,0.12322957522096344
Footwear,Fitness Accessories,309,307,31751.36004609,5258.390016192,0.16561148903728742
Outdoors,Golf Apparel,441,440,31447.4397102,3496.309982897,0.11117947963703287
Discs Shop,Video Games,838,838,29919.19986883,2717.519996736,0.09082863207071017
Fitness,Basketball,67,64,24705.3296188,1845.670003454,0.07470736201185924
Fitness,Soccer,138,136,23909.94973655,3901.949953447,0.1631935657096876
Footwear,As Seen on  TV!,68,68,18519.60993168,714.429979709,0.03857694532144991
Book Shop,Books,405,405,11303.42003274,883.010007794,0.0781188352937774
Apparel,Baby,207,207,10957.40014276,1525.02999227,0.13917808717405009
Outdoors,Golf Bags & Carts,61,61,9403.7900006,1810.069992479,0.19248302996595096
Fan Shop,Toys,529,529,5485.679967799,900.710000356,0.16419295431800202
Discs Shop,CDs,271,271,2750.0299979349998,383.849999637,0.13958029546049802
